fornavn,år,antall
Anita,2022,14542.0
Anita,2023,14513.0
Anita,2024,14487.0
Anja,2013,3521.0
Anja,2014,3538.0
Anja,2015,3564.0
Anja,2016,3573.0
Anja,2017,3585.0
Anja,2018,3600.0
Anja,2019,3616.0
Anja,2020,3629.0
Anja,2021,3702.0
Anja,2022,3709.0
Anja,2023,3706.0
Anja,2024,3714.0
Anlaug,2013,430.0
Anlaug,2014,425.0
Anlaug,2015,412.0
Anlaug,2016,398.0
Anlaug,2017,388.0
Anlaug,2018,376.0
Anlaug,2019,366.0
Anlaug,2020,350.0
Anlaug,2021,343.0
Anlaug,2022,330.0
Anlaug,2023,320.0
Anlaug,2024,307.0
Ann,2013,12699.0
Ann,2014,12657.0
Ann,2015,12606.0
Ann,2016,12568.0
Ann,2017,12537.0
Ann,2018,12486.0
Ann,2019,12459.0
Ann,2020,12392.0
Ann,2021,19732.0
Ann,2022,19637.0
Ann,2023,19537.0
Ann,2024,19409.0
Ann-Christin,2013,443.0
Ann-Christin,2014,448.0
Ann-Christin,2015,449.0
Ann-Christin,2016,453.0
Ann-Christin,2017,451.0
Ann-Christin,2018,450.0
Ann-Christin,2019,448.0
Ann-Christin,2020,447.0
Ann-Christin,2021,
Ann-Christin,2022,
Ann-Christin,2023,
Ann-Christin,2024,
Ann-Helen,2013,542.0
Ann-Helen,2014,539.0
Ann-Helen,2015,542.0
Ann-Helen,2016,542.0
Ann-Helen,2017,541.0
Ann-Helen,2018,539.0
Ann-Helen,2019,537.0
Ann-Helen,2020,534.0
Ann-Helen,2021,
Ann-Helen,2022,
Ann-Helen,2023,
Ann-Helen,2024,
Ann-Karin,2013,558.0
Ann-Karin,2014,554.0
Ann-Karin,2015,550.0
Ann-Karin,2016,548.0
Ann-Karin,2017,548.0
Ann-Karin,2018,549.0
Ann-Karin,2019,544.0
Ann-Karin,2020,542.0
Ann-Karin,2021,
Ann-Karin,2022,
Ann-Karin,2023,
Ann-Karin,2024,
Ann-Kristin,2013,1917.0
Ann-Kristin,2014,1918.0
Ann-Kristin,2015,1912.0
Ann-Kristin,2016,1905.0
Ann-Kristin,2017,1906.0
Ann-Kristin,2018,1899.0
Ann-Kristin,2019,1893.0
Ann-Kristin,2020,1885.0
Ann-Kristin,2021,
Ann-Kristin,2022,
Ann-Kristin,2023,
Ann-Kristin,2024,
Ann-Mari,2013,682.0
Ann-Mari,2014,679.0
Ann-Mari,2015,672.0
Ann-Mari,2016,667.0
Ann-Mari,2017,668.0
Ann-Mari,2018,665.0
Ann-Mari,2019,663.0
Ann-Mari,2020,659.0
Ann-Mari,2021,
Ann-Mari,2022,
Ann-Mari,2023,
Ann-Mari,2024,
Anna,2013,18385.0
Anna,2014,18672.0
Anna,2015,18852.0
Anna,2016,18798.0
Anna,2017,18779.0
Anna,2018,18807.0
Anna,2019,18852.0
Anna,2020,18944.0
Anna,2021,19778.0
Anna,2022,20394.0
Anna,2023,20837.0
Anna,2024,21040.0
Annabelle,2013,
Annabelle,2014,
Annabelle,2015,
Annabelle,2016,
Annabelle,2017,
Annabelle,2018,
Annabelle,2019,
Annabelle,2020,206.0
Annabelle,2021,214.0
Annabelle,2022,223.0
Annabelle,2023,229.0
Annabelle,2024,233.0
Annbjørg,2013,941.0
Annbjørg,2014,931.0
Annbjørg,2015,917.0
Annbjørg,2016,910.0
Annbjørg,2017,891.0
Annbjørg,2018,882.0
Annbjørg,2019,865.0
Annbjørg,2020,858.0
Annbjørg,2021,847.0
Annbjørg,2022,830.0
Annbjørg,2023,807.0
Annbjørg,2024,786.0
Anne,2013,62247.0
Anne,2014,61847.0
Anne,2015,61394.0
Anne,2016,60913.0
Anne,2017,60395.0
Anne,2018,59895.0
Anne,2019,59359.0
Anne,2020,58852.0
Anne,2021,70752.0
Anne,2022,69949.0
Anne,2023,69146.0
Anne,2024,68292.0
Anne-Berit,2013,387.0
Anne-Berit,2014,387.0
Anne-Berit,2015,386.0
Anne-Berit,2016,384.0
Anne-Berit,2017,382.0
Anne-Berit,2018,381.0
Anne-Berit,2019,380.0
Anne-Berit,2020,377.0
Anne-Berit,2021,
Anne-Berit,2022,
Anne-Berit,2023,
Anne-Berit,2024,
Anne-Brit,2013,209.0
Anne-Brit,2014,206.0
Anne-Brit,2015,203.0
Anne-Brit,2016,201.0
Anne-Brit,2017,201.0
Anne-Brit,2018,
Anne-Brit,2019,
Anne-Brit,2020,
Anne-Brit,2021,
Anne-Brit,2022,
Anne-Brit,2023,
Anne-Brit,2024,
Anne-Britt,2013,478.0
Anne-Britt,2014,476.0
Anne-Britt,2015,473.0
Anne-Britt,2016,470.0
Anne-Britt,2017,471.0
Anne-Britt,2018,470.0
Anne-Britt,2019,464.0
Anne-Britt,2020,461.0
Anne-Britt,2021,
Anne-Britt,2022,
Anne-Britt,2023,
Anne-Britt,2024,
Anne-Grete,2013,447.0
Anne-Grete,2014,449.0
Anne-Grete,2015,447.0
Anne-Grete,2016,446.0
Anne-Grete,2017,445.0
Anne-Grete,2018,444.0
Anne-Grete,2019,442.0
Anne-Grete,2020,438.0
Anne-Grete,2021,
Anne-Grete,2022,
Anne-Grete,2023,
Anne-Grete,2024,
Anne-Grethe,2013,791.0
Anne-Grethe,2014,789.0
Anne-Grethe,2015,784.0
Anne-Grethe,2016,776.0
Anne-Grethe,2017,777.0
Anne-Grethe,2018,764.0
Anne-Grethe,2019,763.0
Anne-Grethe,2020,760.0
Anne-Grethe,2021,
Anne-Grethe,2022,
Anne-Grethe,2023,
Anne-Grethe,2024,
Anne-Kari,2013,210.0
Anne-Kari,2014,209.0
Anne-Kari,2015,210.0
Anne-Kari,2016,210.0
Anne-Kari,2017,210.0
Anne-Kari,2018,207.0
Anne-Kari,2019,207.0
