fornavn,år,antall
Arn,2018,203.0
Arn,2019,210.0
Arn,2020,214.0
Arn,2021,235.0
Arn,2022,239.0
Arn,2023,240.0
Arn,2024,248.0
Arne,2013,25253.0
Arne,2014,24665.0
Arne,2015,24051.0
Arne,2016,23488.0
Arne,2017,22973.0
Arne,2018,22408.0
Arne,2019,21874.0
Arne,2020,21329.0
Arne,2021,21101.0
Arne,2022,20468.0
Arne,2023,19928.0
Arne,2024,19373.0
Arnfinn,2013,2784.0
Arnfinn,2014,2734.0
Arnfinn,2015,2701.0
Arnfinn,2016,2660.0
Arnfinn,2017,2617.0
Arnfinn,2018,2576.0
Arnfinn,2019,2537.0
Arnfinn,2020,2485.0
Arnfinn,2021,2441.0
Arnfinn,2022,2397.0
Arnfinn,2023,2351.0
Arnfinn,2024,2305.0
Arnljot,2013,203.0
Arnljot,2014,
Arnljot,2015,
Arnljot,2016,
Arnljot,2017,
Arnljot,2018,
Arnljot,2019,
Arnljot,2020,
Arnljot,2021,
Arnljot,2022,
Arnljot,2023,
Arnljot,2024,
Arnold,2013,991.0
Arnold,2014,953.0
Arnold,2015,919.0
Arnold,2016,884.0
Arnold,2017,857.0
Arnold,2018,837.0
Arnold,2019,803.0
Arnold,2020,767.0
Arnold,2021,739.0
Arnold,2022,727.0
Arnold,2023,701.0
Arnold,2024,682.0
Arnstein,2013,1103.0
Arnstein,2014,1097.0
Arnstein,2015,1091.0
Arnstein,2016,1085.0
Arnstein,2017,1081.0
Arnstein,2018,1077.0
Arnstein,2019,1074.0
Arnstein,2020,1066.0
Arnstein,2021,1058.0
Arnstein,2022,1050.0
Arnstein,2023,1040.0
Arnstein,2024,1034.0
Arnt,2013,3241.0
Arnt,2014,3210.0
Arnt,2015,3169.0
Arnt,2016,3133.0
Arnt,2017,3117.0
Arnt,2018,3078.0
Arnt,2019,3056.0
Arnt,2020,3015.0
Arnt,2021,3211.0
Arnt,2022,3174.0
Arnt,2023,3129.0
Arnt,2024,3092.0
Arnulf,2013,662.0
Arnulf,2014,642.0
Arnulf,2015,628.0
Arnulf,2016,613.0
Arnulf,2017,599.0
Arnulf,2018,591.0
Arnulf,2019,574.0
Arnulf,2020,552.0
Arnulf,2021,536.0
Arnulf,2022,511.0
Arnulf,2023,495.0
Arnulf,2024,481.0
Aron,2013,1520.0
Aron,2014,1658.0
Aron,2015,1794.0
Aron,2016,1922.0
Aron,2017,2042.0
Aron,2018,2167.0
Aron,2019,2267.0
Aron,2020,2379.0
Aron,2021,2520.0
Aron,2022,2646.0
Aron,2023,2772.0
Aron,2024,2859.0
Artem,2013,
Artem,2014,
Artem,2015,
Artem,2016,
Artem,2017,
Artem,2018,
Artem,2019,
Artem,2020,
